CurrentMapping,CurrentCtpOfferId,OldMapping,OldCtpOfferId
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KG^1^Year^Direct^^Global,8ad3e036-d3bc-472b-a9dc-1f12ded7315a,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KG^1^Year^Direct^edu.microsoft.com_edu^Global,3110d5a2-403a-4918-98b4-b03c9ab42291
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KN^1^Year^Direct^^Global,f403c4f6-374c-4a25-9df5-999a3cd8d642,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KN^1^Year^Direct^edu.microsoft.com_edu^Global,01f7f1e2-f8d6-474c-a59f-1531521db04d
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KW^1^Year^Direct^^Global,241c36c5-b6e3-41ee-8981-187d5c5bba90,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KW^1^Year^Direct^edu.microsoft.com_edu^Global,5c77b0ee-fa54-41f2-92cd-25b8d6b2688d
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KY^1^Year^Direct^^Global,0757dc01-324a-488a-b051-267024da5de2,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KY^1^Year^Direct^edu.microsoft.com_edu^Global,1aed9aa4-f6f0-41fd-80b2-ff503462bba8
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KZ^1^Year^Direct^^Global,e9bd7902-920b-4ef2-b23b-af0c886de405,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^KZ^1^Year^Direct^edu.microsoft.com_edu^Global,f6cf30ad-b836-4c65-8148-a881407f9a04
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^LB^1^Year^Direct^^Global,28d9824f-407f-41a8-808c-5b8f5c77692d,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^LB^1^Year^Direct^edu.microsoft.com_edu^Global,446b170e-9579-425d-839f-17eee482c6de
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^LK^1^Year^Direct^^Global,489058ca-c955-4971-b960-bda5505360b1,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^LK^1^Year^Direct^edu.microsoft.com_edu^Global,a8c3486a-737d-4e22-acf1-7cb9ce4978bc
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^LY^1^Year^Direct^^Global,4b41c629-2e87-4b71-a60f-b8f967883d73,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^LY^1^Year^Direct^edu.microsoft.com_edu^Global,890181c4-8676-4b93-8b3f-b4b3e0216433
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MA^1^Year^Direct^^Global,b8453644-f326-4db6-bc88-6d1c5cc0d602,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MA^1^Year^Direct^edu.microsoft.com_edu^Global,374091af-9fe5-4151-b838-8e9629544290
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MD^1^Year^Direct^^Global,3abcf161-9543-4ae7-ba98-2bd8ffba12c9,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MD^1^Year^Direct^edu.microsoft.com_edu^Global,e7e3e02f-e06d-49ca-a963-29929f857c0a
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^ME^1^Year^Direct^^Global,93bf2cf5-4203-4f9b-ac9d-6c817c2c6fc4,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^ME^1^Year^Direct^edu.microsoft.com_edu^Global,79e4edff-e906-4bc6-8683-202053a31800
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MK^1^Year^Direct^^Global,9f6b3d2d-405a-4854-9c2f-385bdb9835d4,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MK^1^Year^Direct^edu.microsoft.com_edu^Global,e4410601-f5d8-486a-a06c-24f2846f6574
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MN^1^Year^Direct^^Global,042007b4-1337-4682-8988-398e91ef0303,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MN^1^Year^Direct^edu.microsoft.com_edu^Global,81828d61-5f77-417d-b78f-47ea1d9b8784
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MO^1^Year^Direct^^Global,e8cdc9ef-1a5d-4634-af54-caa9ef487c2a,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MO^1^Year^Direct^edu.microsoft.com_edu^Global,0ca68513-c71d-4228-a2c6-92fc941bf22b
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MU^1^Year^Direct^^Global,93254d79-5931-4b19-83b6-2054076a3743,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MU^1^Year^Direct^edu.microsoft.com_edu^Global,7067c9c0-0bd2-4770-a823-ae92e5b1fa46
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MX^1^Year^Direct^^Global,abad953f-b354-4b05-8cbc-70cb8ac50dc4,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MX^1^Year^Direct^edu.microsoft.com_edu^Global,df4125c5-3beb-4531-8fb6-240e6a2d3ce4
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MY^1^Year^Direct^^Global,81557b95-4c7a-4269-9ca3-67102664a2fa,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^MY^1^Year^Direct^edu.microsoft.com_edu^Global,b9cbefca-a74b-422d-91b4-8c51d5dc412e
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^NG^1^Year^Direct^^Global,2290de1f-a772-4310-be10-cc5b1e94e534,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^NG^1^Year^Direct^edu.microsoft.com_edu^Global,d4dfab53-e678-4bbe-8052-5ac5f7c7818b
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^NI^1^Year^Direct^^Global,8d40b754-e862-467a-9896-e89bf63d88b2,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^NI^1^Year^Direct^edu.microsoft.com_edu^Global,40474cca-f66f-439b-ae47-7d4e3f1f19a1
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^NP^1^Year^Direct^^Global,01a5b4ee-fa72-4587-acd4-c00914e32851,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^NP^1^Year^Direct^edu.microsoft.com_edu^Global,a8cc5f8e-c77e-40d3-ba97-c6a4da258af5
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^OM^1^Year^Direct^^Global,dc45af8f-007f-496c-836e-fc8e56871ec0,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^OM^1^Year^Direct^edu.microsoft.com_edu^Global,407934f3-bb50-46e0-ae4a-b6b426580900
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PA^1^Year^Direct^^Global,e64ba49d-3f41-4cc0-a092-7a98d05f7985,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PA^1^Year^Direct^edu.microsoft.com_edu^Global,89a104fa-9211-416b-bc43-fba647d3d560
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PE^1^Year^Direct^^Global,4e7e2e53-71f5-4e8c-ae42-28c3670f7e37,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PE^1^Year^Direct^edu.microsoft.com_edu^Global,c730cdcb-439a-41af-af6c-a5ab09e03ddb
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PH^1^Year^Direct^^Global,bab51a28-40a9-40bd-9548-67d1b2da5fda,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PH^1^Year^Direct^edu.microsoft.com_edu^Global,b1b807ec-da3d-4928-8b04-2051949bea4b
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PK^1^Year^Direct^^Global,fd1aa3ca-3ea1-4a4a-bf9e-71e5198aafca,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PK^1^Year^Direct^edu.microsoft.com_edu^Global,fca6042b-996c-4b7a-b3a6-a2c1d8bde8cd
d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PR^1^Year^Direct^^Global,706e49f1-851d-4ea4-b618-f66e68d3cdbe,d402803e-2628-4f80-bc26-d8ce308605d2^Monthly^USD^PR^1^Year^Direct^edu.microsoft.com_edu^Global,333f8b1f-e21a-4057-84b4-ffcfac3f14af
